CO_CATEGAD_PRIVADA,CO_GRUPO,CO_REGIAO_CURSO,QTD_ALUNOS,NT_GER_mean,NT_FG_mean,NT_CE_mean,QE_I58_mean,QE_I29_mean,QE_I57_mean,CO_REGIAO_CURSO_mean,CO_CATEGAD_PRIVADA_mean,NU_IDADE_mean,TP_SEXO_MASC_mean,QE_I02_BRANCA_mean,QE_I17_PRIVADO_mean,CO_IES_mean,QE_I08_NUM_mean,NT_GER_minimum,NT_FG_minimum,NT_CE_minimum,QE_I58_minimum,QE_I29_minimum,QE_I57_minimum,CO_REGIAO_CURSO_minimum,CO_CATEGAD_PRIVADA_minimum,NU_IDADE_minimum,TP_SEXO_MASC_minimum,QE_I02_BRANCA_minimum,QE_I17_PRIVADO_minimum,CO_IES_minimum,QE_I08_NUM_minimum,NT_GER_median,NT_FG_median,NT_CE_median,QE_I58_median,QE_I29_median,QE_I57_median,CO_REGIAO_CURSO_median,CO_CATEGAD_PRIVADA_median,NU_IDADE_median,TP_SEXO_MASC_median,QE_I02_BRANCA_median,QE_I17_PRIVADO_median,CO_IES_median,QE_I08_NUM_median,NT_GER_std,NT_FG_std,NT_CE_std,QE_I58_std,QE_I29_std,QE_I57_std,CO_REGIAO_CURSO_std,CO_CATEGAD_PRIVADA_std,NU_IDADE_std,TP_SEXO_MASC_std,QE_I02_BRANCA_std,QE_I17_PRIVADO_std,CO_IES_std,QE_I08_NUM_std,NT_GER_maximum,NT_FG_maximum,NT_CE_maximum,QE_I58_maximum,QE_I29_maximum,QE_I57_maximum,CO_REGIAO_CURSO_maximum,CO_CATEGAD_PRIVADA_maximum,NU_IDADE_maximum,TP_SEXO_MASC_maximum,QE_I02_BRANCA_maximum,QE_I17_PRIVADO_maximum,CO_IES_maximum,QE_I08_NUM_maximum,NT_GER_q25,NT_FG_q25,NT_CE_q25,QE_I58_q25,QE_I29_q25,QE_I57_q25,CO_REGIAO_CURSO_q25,CO_CATEGAD_PRIVADA_q25,NU_IDADE_q25,TP_SEXO_MASC_q25,QE_I02_BRANCA_q25,QE_I17_PRIVADO_q25,CO_IES_q25,QE_I08_NUM_q25,NT_GER_q75,NT_FG_q75,NT_CE_q75,QE_I58_q75,QE_I29_q75,QE_I57_q75,CO_REGIAO_CURSO_q75,CO_CATEGAD_PRIVADA_q75,NU_IDADE_q75,TP_SEXO_MASC_q75,QE_I02_BRANCA_q75,QE_I17_PRIVADO_q75,CO_IES_q75,QE_I08_NUM_q75
0,1,1,675,42.3677037037037,50.222074074074044,39.73185185185182,4.866666666666666,4.72,4.92,1.0,0.0,27.854814814814816,0.4666666666666667,0.277037037037037,0.24296296296296296,1606.0592592592593,2.6933333333333334,5.8,0.0,0.0,1,1,1,1,0,20,0,0,0,4,1,42.4,50.3,39.8,5.0,5.0,5.0,1.0,0.0,25.0,0.0,0.0,0.0,590.0,2.0,12.33789943723623,16.086428338843174,13.378468528051371,1.3519959966931057,1.3888491916516155,1.2105373160178927,0.0,0.0,6.714810665445266,0.499257609093129,0.447866810151326,0.42919093382393897,3521.3564046023275,1.4845994774041278,76.8,91.4,77.6,6,6,6,1,0,57,1,1,1,18440,7,33.9,38.7,30.8,4.0,4.0,4.0,1.0,0.0,23.0,0.0,0.0,0.0,569.0,2.0,50.2,62.0,48.8,6.0,6.0,6.0,1.0,0.0,31.0,1.0,1.0,0.0,789.0,3.0
0,1,2,2855,45.03478108581434,52.11141856392286,42.65807355516659,4.604903677758319,4.37338003502627,4.643432574430823,2.0,0.0,26.83782837127846,0.5103327495621717,0.3733800350262697,0.369877408056042,1655.260945709282,2.6490367775831873,3.8,0.0,0.0,1,1,1,2,0,20,0,0,0,3,1,44.8,52.6,42.5,5.0,5.0,5.0,2.0,0.0,25.0,1.0,0.0,0.0,577.0,2.0,13.010969123499173,16.3899069450934,14.220199311785588,1.4986949880856433,1.4930318038460157,1.3708107311136515,0.0,0.0,5.475687313413306,0.49998079286441754,0.48378648516804285,0.48285585295685474,4710.300980709182,1.554469430587236,85.1,92.8,86.5,6,6,6,2,0,67,1,1,1,23410,7,36.1,40.6,33.1,4.0,4.0,4.0,2.0,0.0,23.0,0.0,0.0,0.0,95.0,1.0,54.0,64.0,52.3,6.0,6.0,6.0,2.0,0.0,29.0,1.0,1.0,1.0,580.0,4.0
0,1,3,2273,46.33304003519577,53.757501099867994,43.841355037395445,4.794544654641443,4.543334799824021,4.847338319401672,3.0,0.0,25.958644962604488,0.4707435107787066,0.6247250329960404,0.4571051473823141,411.02507699076114,3.5534535855697316,5.6,5.8,0.0,1,1,1,3,0,20,0,0,0,6,1,47.7,54.9,45.0,5.0,5.0,5.0,3.0,0.0,25.0,0.0,1.0,0.0,572.0,3.0,14.397927959624148,17.446437832650087,15.612049458796541,1.4125089357995864,1.4290715126612352,1.2678351566829418,0.0,0.0,4.861466073975812,0.49925315854244706,0.4843003761896902,0.4982662510996865,309.9719231170277,1.6890486359515398,85.8,93.8,86.0,6,6,6,3,0,60,1,1,1,1036,7,36.1,41.3,33.1,4.0,4.0,4.0,3.0,0.0,23.0,0.0,0.0,0.0,54.0,2.0,56.8,67.1,54.9,6.0,6.0,6.0,3.0,0.0,27.0,1.0,1.0,1.0,586.0,5.0
0,1,4,2505,44.78862275449098,50.02063872255487,43.02906187624748,4.9880239520958085,4.573253493013972,4.83872255489022,4.0,0.0,26.302195608782434,0.49780439121756487,0.837125748502994,0.3469061876247505,2655.715369261477,3.6395209580838324,0.0,0.0,0.0,1,1,1,4,0,20,0,0,0,9,1,44.3,50.4,42.5,5.0,5.0,5.0,4.0,0.0,25.0,0.0,1.0,0.0,571.0,3.0,14.178089192777279,17.40945199485609,15.252863926012418,1.3737673415434248,1.4555183062912271,1.333825707969193,0.0,0.0,5.419769084985566,0.5000950086058272,0.36932462829600315,0.47608062842129856,5662.284618337799,1.6857189364563705,84.9,92.6,87.7,6,6,6,4,0,59,1,1,1,18492,7,35.3,37.5,33.1,5.0,4.0,4.0,4.0,0.0,23.0,0.0,1.0,0.0,23.0,2.0,55.0,62.7,53.8,6.0,6.0,6.0,4.0,0.0,28.0,1.0,1.0,1.0,634.0,5.0
0,1,5,1074,41.40474860335186,47.05484171322167,39.50474860335186,4.9748603351955305,4.662011173184357,4.887337057728119,5.0,0.0,26.89664804469274,0.4515828677839851,0.4702048417132216,0.23743016759776536,693.2839851024208,3.1135940409683425,3.7,0.0,0.0,1,1,1,5,0,20,0,0,0,1,1,40.7,46.45,38.6,5.0,5.0,5.0,5.0,0.0,25.0,0.0,0.0,0.0,584.0,3.0,13.654143149477866,16.738729633177392,14.67184590427182,1.3910649601125014,1.4673552600970572,1.3367581851128045,0.0,0.0,5.978801315913852,0.49788210269812416,0.49934398244136013,0.42570626286103963,1010.4994162570646,1.6343646294040395,83.1,95.2,82.6,6,6,6,5,0,60,1,1,1,4504,7,32.1,35.4,29.3,4.0,4.0,4.0,5.0,0.0,23.0,0.0,0.0,0.0,47.0,2.0,50.2,58.7,49.3,6.0,6.0,6.0,5.0,0.0,29.0,1.0,1.0,0.0,719.0,4.0
1,1,1,190,37.14789473684212,44.575789473684225,34.653684210526315,5.610526315789474,5.473684210526316,5.468421052631579,1.0,1.0,28.221052631578946,0.4,0.18947368421052632,0.22631578947368422,510.44736842105266,2.5736842105263156,14.6,7.0,9.4,3,2,1,1,1,21,0,0,0,322,1,36.599999999999994,43.400000000000006,34.1,6.0,6.0,6.0,1.0,1.0,26.0,0.0,0.0,0.0,383.0,2.0,12.315386805057049,15.678183647831363,13.79839198151041,0.679164392316461,0.8400315597895679,0.8142595763977857,0.0,0.0,6.921600187142741,0.49119226507533753,0.3929197945030007,0.4195514173648635,152.03256010362549,1.2397055911221129,74.4,79.9,80.8,6,6,6,1,1,56,1,1,1,669,7,27.775,33.625,23.6,5.0,5.0,5.0,1.0,1.0,23.0,0.0,0.0,0.0,383.0,2.0,44.55,56.475,43.925,6.0,6.0,6.0,1.0,1.0,32.0,1.0,0.0,0.0,669.0,3.0
1,1,2,1226,39.26835236541598,44.57928221859709,37.48001631321372,5.350734094616639,5.15252854812398,5.268352365415987,2.0,1.0,26.42332789559543,0.4820554649265905,0.4290375203915171,0.466557911908646,554.6745513866232,3.1386623164763456,3.6,0.0,0.0,1,1,1,2,1,20,0,0,0,11,1,38.9,44.4,37.7,6.0,6.0,6.0,2.0,1.0,24.0,0.0,0.0,0.0,555.0,3.0,12.84028075450504,16.295214115690708,13.864510571509182,1.3355987235922029,1.4004305931116616,1.3366763752171864,0.0,0.0,5.938961142041795,0.49988179845972525,0.4951406844186689,0.4990839562828903,244.40239343162023,1.8991786422726293,78.2,91.2,77.6,6,6,6,2,1,60,1,1,1,823,7,29.8,32.725,27.6,5.0,5.0,5.0,2.0,1.0,23.0,0.0,0.0,0.0,385.0,2.0,48.3,55.9,47.3,6.0,6.0,6.0,2.0,1.0,28.0,1.0,1.0,1.0,718.0,5.0
1,1,3,9816,39.061491442542824,44.090688671556805,37.3675937245309,5.1621841890790545,5.014568052159739,5.1549511002444985,3.0,1.0,26.30307660961695,0.43041972290138547,0.609922575387123,0.31754278728606355,328.2148533007335,3.2070089649551754,0.0,0.0,0.0,1,1,1,3,1,20,0,0,0,19,1,38.8,43.6,37.6,6.0,5.0,6.0,3.0,1.0,25.0,0.0,1.0,0.0,316.0,3.0,12.862081142089043,16.251294768573903,13.967614903011665,1.305180038678869,1.293540390391117,1.2119005495837727,0.0,0.0,5.355077642285245,0.4951601387323957,0.48779223811545,0.465544245946842,261.8601451079532,1.620970501774307,89.1,95.0,92.0,6,6,6,3,1,67,1,1,1,1586,7,29.8,32.2,27.6,5.0,4.0,5.0,3.0,1.0,23.0,0.0,0.0,0.0,163.0,2.0,47.9,55.5,47.3,6.0,6.0,6.0,3.0,1.0,28.0,1.0,1.0,1.0,457.0,4.0
1,1,4,3421,39.03250511546326,43.75752703887748,37.44112832505125,5.243203741596025,4.951476176556563,5.131832797427653,4.0,1.0,27.004676995030692,0.47325343466822567,0.862028646594563,0.16106401636948262,621.7100263080971,3.1902952353113125,4.1,0.0,0.0,1,1,1,4,1,20,0,0,0,13,1,38.5,43.7,37.6,6.0,5.0,5.0,4.0,1.0,25.0,0.0,1.0,0.0,295.0,3.0,12.688083296085713,16.069632639886983,13.763981336636622,1.2180002889157397,1.2846308142955105,1.1900591425128468,0.0,0.0,5.879688627235216,0.4993570981602994,0.34492033201369326,0.36764372492102615,2100.316263315866,1.509920198678678,80.6,93.0,85.6,6,6,6,4,1,66,1,1,1,15032,7,30.1,31.7,28.3,5.0,4.0,5.0,4.0,1.0,23.0,0.0,1.0,0.0,20.0,2.0,47.5,54.9,47.3,6.0,6.0,6.0,4.0,1.0,29.0,1.0,1.0,0.0,449.0,4.0
1,1,5,383,37.426631853785885,42.53394255874674,35.708877284595324,4.989556135770235,4.757180156657963,4.8407310704960835,5.0,1.0,27.091383812010445,0.4464751958224543,0.42036553524804177,0.3133159268929504,570.0443864229765,2.9347258485639687,8.3,7.5,4.0,1,1,1,5,1,21,0,0,0,322,1,36.4,41.5,35.6,5.0,5.0,5.0,5.0,1.0,25.0,0.0,0.0,0.0,527.0,3.0,11.931090139812163,15.987498285574478,12.947379388486468,1.278044793255804,1.318830350589724,1.2335669508591691,0.0,0.0,6.316230560935803,0.497777104585085,0.49426329128586427,0.4644483547978888,129.99015513901432,1.64473469447816,70.0,83.4,71.1,6,6,6,5,1,57,1,1,1,780,7,28.65,30.9,26.5,4.0,4.0,4.0,5.0,1.0,22.5,0.0,0.0,0.0,527.0,2.0,45.3,53.349999999999994,44.25,6.0,6.0,6.0,5.0,1.0,30.0,1.0,1.0,1.0,671.0,4.0
